"","volume","church","page","city","state","start.date","end.date","communion.general","converts","under.instruction","diocese","type","mission.number","communion.adults","communion.children","communion.men","communion.women","order","notes","converts.adult","converts.children","location"
"74",1,"St. James' Church ",137,"Newark","NJ","9/26/1857","10/6/1857",1900,"",NA,"","mission",74,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Newark NJ"
"75",1,"Church of Our Lady of Loretto",138,"Cold Spring","NY","10/11/1857","10/18/1857",800,"2",NA,"","mission",75,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Cold Spring NY"
"76",1,"St. Peter's Church",140,"Poughkeepsie","NY","10/24/1857","11/6/1857",1950,"",NA,"","mission",76,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Poughkeepsie NY"
"77",1,"St. John's Church",142,"Utica","NY","11/15/1857","11/27/1857",3000,"",NA,"","mission",77,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Utica NY"
"78",1,"St. Joseph's Church",144,"Brandywine","DE","12/6/1857","12/14/1857",920,"1",NA,"Philadelphia","mission",78,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Brandywine DE"
"79",1,"St. John the Baptist's Church",145,"Trenton","NJ","12/20/1857","12/31/1857",2050,"5",NA,"Newark","mission",79,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Trenton NJ"
"80",1,"Cathedral of Burlington",148,"Burlington","VT","1/10/1858","1/18/1858",1400,"2",NA,"Burlington","mission",80,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Burlington VT"
"81",1,"St John Baptist's Church",151,"Plattsburg","NY","1/24/1858","1/31/1858",1100,"1",NA,"Albany","mission",81,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Plattsburg NY"
"82",1,"",153,"Brandon","VT","2/7/1858","2/11/1858",277,"",NA,"Burlington","mission",82,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Brandon VT"
"83",1,"",155,"East Rutland","VT","2/7/1858","2/15/1858",840,"",NA,"Burlington","mission",83,NA,NA,NA,NA,"Redemptorist","",NA,NA,"East Rutland VT"
"84",1,"",156,"West Rutland","VT","2/21/1858","3/1/1858",1008,"3",NA,"Burlington","mission",84,NA,NA,NA,NA,"Redemptorist","",NA,NA,"West Rutland VT"
"85",1,"",157,"Saratoga Springs","NY","3/7/1858","3/15/1858",970,"",NA,"","mission",85,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Saratoga Springs NY"
"86",1,"",158,"Little Falls","NY","3/21/1858","3/28/1858",800,"3",NA,"","mission",86,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Little Falls NY"
"87",1,"St. Patrick's Church",169,"Watertown","NY","4/18/1858","4/26/1858",1073,"5",NA,"","mission",1,NA,NA,NA,NA,"Paulist","",NA,NA,"Watertown NY"
"88",1,"St. Bridget's Church",172,"New York","NY","5/2/1858","5/16/1858",5700,"15",NA,"","mission",2,NA,NA,NA,NA,"Paulist","",NA,NA,"New York NY"
"89",1,"Cathedral of Ss. Peter & Paul",178,"Providence","RI","9/19/1858","10/1/1858",4430,"",NA,"","mission",3,NA,NA,NA,NA,"Paulist","",NA,NA,"Providence RI"
"90",1,"St. Peter's Cathedral",183,"New York","NY","10/10/1858","10/17/1858",2000,"",NA,"","mission",4,NA,NA,NA,NA,"Paulist","",NA,NA,"New York NY"
"91",1,"St. Mary's Cathedral",186,"Covington","KY","10/24/1858","11/1/1858",1450,"",NA,"Covington","mission",5,NA,NA,NA,NA,"Paulist","",NA,NA,"Covington KY"
"92",1,"St. Augustine's Church",189,"Kalamazoo","MI","11/7/1858","11/14/1858",430,"2",NA,"","mission",6,NA,NA,NA,NA,"Paulist","",NA,NA,"Kalamazoo MI"
"93",1,"Church of the Immaculate Conception",192,"Marshall","MI","11/21/1858","11/26/1858",575,"1",NA,"","mission",7,NA,NA,NA,NA,"Paulist","",NA,NA,"Marshall MI"
"94",1,"St. John's Church",193,"Jackson","MI","11/28/1858","12/5/1858",450,"1",NA,"","mission",8,NA,NA,NA,NA,"Paulist","",NA,NA,"Jackson MI"
"95",1,"St. Thomas's Church",196,"Ann Arbor","MI","12/12/1858","12/19/1858",910,"5",NA,"","mission",9,NA,NA,NA,NA,"Paulist","",NA,NA,"Ann Arbor MI"
"96",1,"St. Mary's Church",200,"New Haven","CT","1/2/1859","1/14/1859",2060,"4",NA,"Hartford","mission",10,NA,NA,NA,NA,"Paulist","",NA,NA,"New Haven CT"
"97",1,"St. Paul's Church",202,"Princeton","NJ","1/23/1859","1/31/1859",570,"1",NA,"Newark","mission",11,NA,NA,NA,NA,"Paulist","",NA,NA,"Princeton NJ"
"98",1,"St. Peter's Church",206,"Belleville","NJ","2/13/1859","2/20/1859",1135,"2",NA,"Newark","mission",12,NA,NA,NA,NA,"Paulist","",NA,NA,"Belleville NJ"
