volume,page,mission_number,type,church,city,state,start_date,end_date,confessions_total,converts,under_instruction,diocese,confessions_adults,confessions_children,confessions_men,confessions_women,order,notes,converts_adult,converts_children,temperance_pledges,confirmed
2,24,,mission,Church of St. William,Ware,MA,5/1/1864,5/8/1864,1080,2,,,,,,,Paulist,,,,,
2,25,,mission,Church of Immaculate Conception,Port Jervis,NY,9/11/1864,9/21/1864,750,1,,,,,,,Paulist,,,,,
2,26,,mission,Church of St. Peter,Southbridge,MA,10/2/1864,10/9/1864,730,4,,,,,,,Paulist,,,,,
2,27,,mission,Church of St. Mary,Lancaster,OH,10/23/1864,10/31/1864,800,3,,,,,,,Paulist,,,,,
2,31,,mission,Church of the Assumption,Brookline,MA,11/6/1864,11/14/1864,1200,1,,,,,,,Paulist,,,,,
2,31,,mission,,Brighton,MA,11/17/1864,11/17/1864,700,3,,,,,,,Paulist,,,,,
2,32,,mission,Church of the Immaculate Conception,Salem,MA,12/4/1864,12/13/1864,2100,3,,,,,,,Paulist,,,,,
2,33,,mission,Church of St. James,Salem,MA,1/1/1865,1/11/1865,2551,11,,,,,,,Paulist,,,,,
2,34,,mission,Church of St. Thomas Aquinas,Archibald,PA,1/29/1865,2/5/1865,1200,,,Philadelphia,,,,,Paulist,,,,,
2,35,,mission,Church of Immaculate Conception,Birmingham,CT,2/12/1865,2/20/1865,1600,1,,Hartford,,,,,Paulist,,,,,
2,36,,mission,Church of St. Gregory Thaumaturgus,Milton,MA,3/12/1865,3/19/1865,1200,1,,,,,,,Paulist,,,,,
2,37,,mission,Church of St. Mary,"Clifton, Staten Island",NY,3/26/1865,4/4/1865,1600,13,,New York,,,,,Paulist,,,,,
2,38,,mission,Church of St. John,Newark,NJ,5/7/1865,5/14/1865,1400,,,,,,,,Paulist,,,,,
2,39,,mission,Church of St. Ann,Manchester,NH,9/24/1865,10/5/1865,2600,,,,,,,,Paulist,,,,,
2,41,,mission,Church of St. Mary,Cold Spring,NY,10/29/1865,11/5/1865,721,,,New York,,,,,Paulist,,,,,
2,51,,mission,Church of the Immaculate Conception,Nashua,NH,4/30/1871,5/7/1871,1261,,,Portland,,,,,Paulist,,,,,
2,53,,mission,Church of St. Patrick,North Bridgewater,MA,10/29/1871,11/5/1871,1400,,,Boston,,,,,Paulist,,,,,
2,54,,mission,Church of St. Gregory Thaumaturgus,Milton,MA,2/25/1872,3/3/1872,2000,,,,,,,,Paulist,,,,,
2,55,,mission,Church of St. Paul,Wilmington,DE,4/28/1872,5/5/1872,1300,,,Wilmington,,,,,Paulist,,,,,
2,56,,mission,St. Peter's Cathedral,Wilmington,DE,10/29/1872,11/5/1872,1800,,,Wilmington,,,,,Paulist,,,,,
2,57,,mission,Church of the Sacred Heart,Philadelphia,PA,11/10/1872,11/18/1872,1500,9,,Philadelphia,,,,,Paulist,,,,,
2,58,,mission,Church of Ss. Peter and Paul,Sandusky,OH,11/24/1872,12/3/1872,1500,2,,Cleveland,,,,,Paulist,,,,,
2,59,,mission,Church of St. John the Evangelist,Birmingham,PA,12/8/1872,12/18/1872,2150,,,,,,,,Paulist,,,,,
2,60,,mission,Church of St. Mary,Randolph,MA,12/29/1872,1/5/1873,1600,2,,,,,,,Paulist,,,,,
2,61,,mission,St. Theresa's Church,New York,NY,1/12/1873,1/26/1873,6600,10,,New York,,,,,Paulist,,,,,
2,63,,mission,Church of St. Mary,Albany,NY,2/2/1873,2/12/1873,2780,2,,Albany,,,,,Paulist,,,,,
2,64,,mission,St. Peter's Cathedral,Cincinnati,OH,2/23/1873,3/9/1873,3000,2,,Cincinnati,,,,,Paulist,,,,,
2,65,,mission,Church of St. Paul the Apostle,New York,NY,3/16/1873,3/30/1873,5500,,,New York,,,,,Paulist,,,,,
2,68,,mission,Cathedral of St. Joseph,Columbus,OH,4/20/1873,4/29/1873,2100,,,Columbus,,,,,Paulist,,,,,
2,69,,mission,Church of the Sacred Heart,Sharon,PA,5/4/1873,5/11/1873,700,1,,,,,,,Paulist,,,,,
